site_year_temp;plot_code;lat;long;sampled_area_ha;year_i;year;c_stocks_ha;p;cec;som;clay;site_area_ha;cwd;map;mat;k;ca;mg;sb;forest_type
PNP_01_2020;PNP_01;-15.120799;-44.227304;0.2;2011;2020;85.22294728;55.16086957;11.87695652;5.203913043;33.04347826;1000;878.0099899;731.7483741;23.38844017;183.4782609;9.609130435;1.778695652;11.85707995;Deciduous
PNP_02_2012;PNP_02;-15.05833333;-44.20694444;0.96;2007;2012;82.35135453;2.3224;6.5976;2.8204;25.72;800;820.4462223;844.3217075;23.47522067;125.7432;5.104;1.072;6.497593862;Deciduous
PNP_02_2020;PNP_02;-15.05833333;-44.20694444;0.96;2012;2020;50.45297219;2.3224;6.5976;2.8204;25.72;800;894.9807301;691.7388978;23.74595855;125.7432;5.104;1.072;6.497593862;Deciduous
POC_01_2000;POC_01;-21.3292;-44.9717;0.78;1995;2000;52.3564279;3.076923077;3.580769231;6.757692308;23.15384615;90;258.1023989;1671.854131;19.65747266;56.61538462;0.296153846;0.119230769;0.560180995;Semideciduous
POC_01_2005;POC_01;-21.3292;-44.9717;0.78;2000;2005;55.78628969;3.076923077;3.580769231;6.757692308;23.15384615;90;284.8137755;1633.469796;19.98360945;56.61538462;0.296153846;0.119230769;0.560180995;Semideciduous
POC_01_2011;POC_01;-21.3292;-44.9717;0.78;2005;2011;61.79445227;3.076923077;3.580769231;6.757692308;23.15384615;90;240.3042466;1806.960348;19.96875299;56.61538462;0.296153846;0.119230769;0.560180995;Semideciduous
POC_03_2001;POC_03;-21.3292;-44.9717;0.42;1996;2001;60.34491213;4.455263158;3.194736842;4.373684211;21.10526316;90;254.355107;1616.883302;19.69350726;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2006;POC_03;-21.3292;-44.9717;0.42;2001;2006;68.06979775;4.455263158;3.194736842;4.373684211;21.10526316;90;273.8099609;1659.66678;20.04644709;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2011;POC_03;-21.3292;-44.9717;0.42;2006;2011;73.58326519;4.455263158;3.194736842;4.373684211;21.10526316;90;247.3169965;1818.758673;19.94697343;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2012;POC_03;-21.3292;-44.9717;0.42;2011;2012;72.89633568;4.455263158;3.194736842;4.373684211;21.10526316;90;282.1003525;1747.326196;19.95198748;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2013;POC_03;-21.3292;-44.9717;0.42;2012;2013;74.49210549;4.455263158;3.194736842;4.373684211;21.10526316;90;233.4301468;1566.474441;20.04907843;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2014;POC_03;-21.3292;-44.9717;0.42;2013;2014;74.09686706;4.455263158;3.194736842;4.373684211;21.10526316;90;261.4755609;1371.814762;20.15646062;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2015;POC_03;-21.3292;-44.9717;0.42;2014;2015;75.02876832;4.455263158;3.194736842;4.373684211;21.10526316;90;255.5638401;1376.874307;20.59487084;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
POC_03_2016;POC_03;-21.3292;-44.9717;0.42;2015;2016;74.17339103;4.455263158;3.194736842;4.373684211;21.10526316;90;253.5854962;1464.496441;20.56930782;46.5;0.463157895;0.163157895;0.745241621;Semideciduous
SUB_01_2001;SUB_01;-21.2214;-44.9631;1.92;1996;2001;88.12446209;1.12244898;3.251020408;2.551020408;34.02040816;12;253.5709704;1602.399586;20.0257971;58.40816327;1.420408163;0.867346939;2.437136594;Semideciduous
SUB_01_2005;SUB_01;-21.2214;-44.9631;1.92;2001;2005;91.71722476;1.12244898;3.251020408;2.551020408;34.02040816;12;285.3925008;1636.789479;20.40633243;58.40816327;1.420408163;0.867346939;2.437136594;Semideciduous
SUB_01_2011;SUB_01;-21.2214;-44.9631;1.92;2005;2011;94.20095021;1.12244898;3.251020408;2.551020408;34.02040816;12;242.2551692;1801.065253;20.30206806;58.40816327;1.420408163;0.867346939;2.437136594;Semideciduous
SUB_01_2016;SUB_01;-21.2214;-44.9631;1.92;2011;2016;94.5469126;1.12244898;3.251020408;2.551020408;34.02040816;12;269.0130842;1514.653494;20.55986973;58.40816327;1.420408163;0.867346939;2.437136594;Semideciduous
SUB_02_1987;SUB_02;-21.2278;-44.9639;5.04;1982;1987;59.52897398;2.144444444;2.40952381;5.688888889;59.47460317;6;227.2641158;1626.932762;19.6212174;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_02_1992;SUB_02;-21.2278;-44.9639;5.04;1987;1992;66.7875265;2.144444444;2.40952381;5.688888889;59.47460317;6;215.4664024;1529.891197;19.65156018;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_02_1996;SUB_02;-21.2278;-44.9639;5.04;1992;1996;69.91990419;2.144444444;2.40952381;5.688888889;59.47460317;6;241.8518372;1669.653177;19.77861667;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_02_2001;SUB_02;-21.2278;-44.9639;5.04;1996;2001;72.73145518;2.144444444;2.40952381;5.688888889;59.47460317;6;255.0910805;1602.199265;19.98393147;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
SUB_02_2006;SUB_02;-21.2278;-44.9639;5.04;2001;2006;77.52323707;2.144444444;2.40952381;5.688888889;59.47460317;6;277.6199262;1648.718041;20.33544334;36.98095238;0.392857143;0.10952381;0.596961394;Semideciduous
