plot_code;lat;long;n_plots;plot_size_m2;sampled_area_ha;n_census;interval_length;plot_code_interval;year_i;year_f;year;forest_type;site_area_ha;c_stocks_i;c_stocks_f;c_gains;c_losses;net_c_sink;crt;ph;p;k;ca;mg;al;sb;cec;som;clay;map;cwd;mat;max_temp;elevation;co2_i;co2_f;co2_change;co2_atm
IBI_01;-21.7103;-43.8855;48;200;0.96;5;9;IBI_01_2005_2014;2005;2014;2009.5;Evergreen;68;141.6470268;138.6471215;2.095037134;2.455659084;-0.36062195;66.17883724;4.25;4.385416667;39.54166667;0.6;0.277083333;2.01875;0.978212915;2.94375;5.697916667;17.6875;1723.449627;191.0337549;17.72338535;23.19557455;1351;379.8;398.65;2.094444444;389.225
IBI_01;-21.7103;-43.8855;48;200;0.96;5;6;IBI_01_2014_2020;2014;2020;2017;Evergreen;68;138.6471215;130.8099039;1.681706191;3.059227799;-1.377521608;77.78404138;4.25;4.385416667;39.54166667;0.6;0.277083333;2.01875;0.978212915;2.94375;5.697916667;17.6875;1417.609443;215.5464841;18.23028585;23.70247515;1351;398.65;411.44;2.558;405.045
ING_01;-21.4098;-44.8929;25;400;1;5;5;ING_01_1999_2004;1999;2004;2001.5;Semideciduous;17;80.0235696;88.60396331;3.373505838;1.579345511;1.794160327;26.26465391;5;1.76;53.76;1.096;0.656;1.048;1.889493606;2.944;3.7;26.96;1561.454043;316.2028771;20.40868917;26.64963664;892;368.38;377.52;1.828;372.95
ING_01;-21.4098;-44.8929;25;400;1;5;5;ING_01_2004_2009;2004;2009;2006.5;Semideciduous;17;88.60396331;97.54751628;3.193933085;1.323836161;1.870096924;30.5415028;5;1.76;53.76;1.096;0.656;1.048;1.889493606;2.944;3.7;26.96;1735.948363;245.8534696;20.49469613;26.73564364;892;377.52;387.43;1.982;382.475
ING_01;-21.4098;-44.8929;25;400;1;5;6;ING_01_2009_2015;2009;2015;2012;Semideciduous;17;97.54751628;101.5476795;2.773417345;2.070321984;0.703095361;36.61464067;5;1.76;53.76;1.096;0.656;1.048;1.889493606;2.944;3.7;26.96;1635.041453;255.5089502;20.69289534;26.93384282;892;387.43;400.83;2.233333333;394.13
ING_01;-21.4098;-44.8929;25;400;1;5;3;ING_01_2015_2018;2015;2018;2016.5;Semideciduous;17;101.5476795;98.7167124;2.282340691;3.251758201;-0.969417511;43.25239996;5;1.76;53.76;1.096;0.656;1.048;1.889493606;2.944;3.7;26.96;1411.589895;285.4097859;21.02207311;27.26302067;892;400.83;408.52;2.563333333;404.675
ITM_01;-22.35005;-44.79461667;25;400;1;2;7;ITM_01_2011_2018;2011;2018;2014.5;Evergreen;7;128.4255903;128.2614378;2.553842462;2.578786601;-0.024944139;50.22292476;4.084;1.756;54.64;0.1;0.1;2.444;0.339744246;2.776;5.076;51.32;1613.567115;177.2434014;16.74369054;22.98571943;1433;391.65;408.52;2.41;400.085
ITT_01;-21.35255;-44.60896;42;225;0.945;5;6;ITT_01_1992_1998;1992;1998;1995;Semideciduous;4;61.97221232;74.32289269;3.12914117;0.958303251;2.170837919;23.75185031;4.680952381;2.880952381;93.64285714;1.052380952;0.611904762;1.878571429;1.903781512;3.783333333;4.442857143;34.19047619;1660.806729;257.9103336;19.92788202;25.89958155;950;356.45;366.7;1.708333333;361.575
ITT_01;-21.35255;-44.60896;42;225;0.945;5;6;ITT_01_1998_2004;1998;2004;2001;Semideciduous;4;74.32289269;79.34130533;2.620060517;1.737990855;0.882069661;30.28224151;4.680952381;2.880952381;93.64285714;1.052380952;0.611904762;1.878571429;1.903781512;3.783333333;4.442857143;34.19047619;1608.061101;315.7805126;20.21207967;26.12956416;950;366.7;377.52;1.803333333;372.11
ITT_01;-21.35255;-44.60896;42;225;0.945;5;7;ITT_01_2004_2011;2004;2011;2007.5;Semideciduous;4;79.34130533;85.39363978;2.164951498;1.245256046;0.919695452;39.44367339;4.680952381;2.880952381;93.64285714;1.052380952;0.611904762;1.878571429;1.903781512;3.783333333;4.442857143;34.19047619;1819.036992;264.181582;20.26010857;26.17759307;950;377.52;391.65;2.018571429;384.585
ITT_01;-21.35255;-44.60896;42;225;0.945;5;8;ITT_01_2011_2019;2011;2019;2015;Semideciduous;4;85.39363978;90.85982465;2.156266342;1.423250951;0.733015391;42.13757033;4.680952381;2.880952381;93.64285714;1.052380952;0.611904762;1.878571429;1.903781512;3.783333333;4.442857143;34.19047619;1475.540641;295.7063921;20.66935382;26.58683831;950;391.65;411.44;2.47375;401.545
ITT_02;-21.35561389;-44.61553333;28;300;0.84;5;5;ITT_02_1994_1999;1994;1999;1996.5;Semideciduous;9;80.73533804;87.06317961;2.42725518;1.104103509;1.323151671;35.86898499;4.139285714;1.925;47.89285714;0.303571429;0.117857143;1.810714286;0.543916698;2.382142857;3.667857143;46.89285714;1653.601126;277.7293677;19.98044278;25.86337723;950;358.83;368.38;1.91;363.605
ITT_02;-21.35561389;-44.61553333;28;300;0.84;5;5;ITT_02_1999_2004;1999;2004;2001.5;Semideciduous;9;87.06317961;104.9739295;4.609165779;0.864027985;3.745137794;22.7750388;4.139285714;1.925;47.89285714;0.303571429;0.117857143;1.810714286;0.543916698;2.382142857;3.667857143;46.89285714;1605.536013;325.954366;20.19926656;26.11675099;950;368.38;377.52;1.828;372.95
ITT_02;-21.35561389;-44.61553333;28;300;0.84;5;6;ITT_02_2004_2010;2004;2010;2007;Semideciduous;9;104.9739295;99.23691033;1.871191121;2.87956785;-1.008376729;53.03408574;4.139285714;1.925;47.89285714;0.303571429;0.117857143;1.810714286;0.543916698;2.382142857;3.667857143;46.89285714;1800.081932;254.6044878;20.29403902;26.2115235;950;377.52;389.9;2.063333333;383.71
ITT_02;-21.35561389;-44.61553333;28;300;0.84;5;9;ITT_02_2010_2019;2010;2019;2014.5;Semideciduous;9;99.23691033;105.2037812;2.061011513;1.343727342;0.717284172;51.04473239;4.139285714;1.925;47.89285714;0.303571429;0.117857143;1.810714286;0.543916698;2.382142857;3.667857143;46.89285714;1510.602813;291.4423945;20.63513633;26.55262081;950;389.9;411.44;2.393333333;400.67
LUM_01;-21.4977;-44.9134;32;400;1.28;4;5;LUM_01_2000_2005;2000;2005;2002.5;Semideciduous;77;84.99058215;84.99073275;2.505894891;2.505863401;3.15E-05;33.9163199;5.034375;1.4375;79.96875;1.3875;0.7125;0.978125;2.304523657;3.275;3.375;30.5625;1580.610892;297.9046415;20.45156216;26.6901797;928;369.55;379.8;2.05;374.675
